,Ensemble ID,Uniprot ID
Xkr4,ENSMUSG00000051951,Q5GH67
Gm1992,ENSMUSG00000089699,0
Gm37381,ENSMUSG00000102343,0
Rp1,ENSMUSG00000025900,P56716
Sox17,ENSMUSG00000025902,Q61473
Gm37323,ENSMUSG00000104328,0
Mrpl15,ENSMUSG00000033845,Q9CPR5
Lypla1,ENSMUSG00000025903,P97823
Gm37988,ENSMUSG00000104217,J3QM41
Tcea1,ENSMUSG00000033813,P10711
Rgs20,ENSMUSG00000002459,Q9QZB1
Atp6v1h,ENSMUSG00000033793,Q8BVE3
Rb1cc1,ENSMUSG00000025907,Q9ESK9
4732440D04Rik,ENSMUSG00000090031,Q3UUX8
Fam150a,ENSMUSG00000087247,J3QPP8
St18,ENSMUSG00000033740,Q80TY4
Pcmtd1,ENSMUSG00000051285,P59913
Gm26901,ENSMUSG00000097797,0
Sntg1,ENSMUSG00000025909,Q925E1
Rrs1,ENSMUSG00000061024,Q9CYH6
Adhfe1,ENSMUSG00000025911,Q8R0N6
3110035E14Rik,ENSMUSG00000067879,Q8BG31
Mybl1,ENSMUSG00000025912,P51960
Vcpip1,ENSMUSG00000045210,Q8CDG3
1700034P13Rik,ENSMUSG00000097893,0
Sgk3,ENSMUSG00000025915,Q9ERE3
Mcmdc2,ENSMUSG00000046101,E9Q956
Snhg6,ENSMUSG00000098234,0
Tcf24,ENSMUSG00000099032,Q3UV43
Ppp1r42,ENSMUSG00000025916,Q8R1Z4
Cops5,ENSMUSG00000025917,O35864
Cspp1,ENSMUSG00000056763,B2RX88
Arfgef1,ENSMUSG00000067851,G3X9K3
Cpa6,ENSMUSG00000042501,Q5U901
Prex2,ENSMUSG00000048960,Q3LAC4
A830018L16Rik,ENSMUSG00000057715,Q8BZJ8
Gm17644,ENSMUSG00000097171,0
Gm29663,ENSMUSG00000101314,0
Sulf1,ENSMUSG00000016918,Q8K007
Slco5a1,ENSMUSG00000025938,A0A087WNX4
Gm29283,ENSMUSG00000099498,0
Prdm14,ENSMUSG00000042414,E9Q3T6
Ncoa2,ENSMUSG00000005886,Q61026
Gm29570,ENSMUSG00000101476,0
Tram1,ENSMUSG00000025935,Q91V04
Lactb2,ENSMUSG00000025937,Q99KR3
Xkr9,ENSMUSG00000067813,Q5GH62
Eya1,ENSMUSG00000025932,P97767
Gm9947,ENSMUSG00000054493,Q8BPS9
Msc,ENSMUSG00000025930,O88940
Kcnb2,ENSMUSG00000092083,A6H8H5
Terf1,ENSMUSG00000025925,P70371
Sbspon,ENSMUSG00000032719,Q3UPR9
4930444P10Rik,ENSMUSG00000067795,D3YUR1
Rpl7,ENSMUSG00000043716,P14148
Rdh10,ENSMUSG00000025921,Q8VCH7
Stau2,ENSMUSG00000025920,Q8CJ67
Gm7568,ENSMUSG00000089982,0
Ube2w,ENSMUSG00000025939,Q8VDW4
Tceb1,ENSMUSG00000079658,P83940
D030040B21Rik,ENSMUSG00000097744,0
Tmem70,ENSMUSG00000025940,Q921N7
Ly96,ENSMUSG00000025779,Q9JHF9
Jph1,ENSMUSG00000042686,Q9ET80
Gm28783,ENSMUSG00000100110,0
Gdap1,ENSMUSG00000025777,O88741
Gm28784,ENSMUSG00000099899,0
Pi15,ENSMUSG00000067780,Q8BS03
Gm28154,ENSMUSG00000100053,0
Crispld1,ENSMUSG00000025776,Q8CGD2
Gm28153,ENSMUSG00000099895,0
Defb41,ENSMUSG00000067773,Q30KP6
Tfap2b,ENSMUSG00000025927,Q61313
Gm28340,ENSMUSG00000100538,0
Pkhd1,ENSMUSG00000043760,E9PZ36
4930486I03Rik,ENSMUSG00000089914,0
Il17a,ENSMUSG00000025929,Q62386
Il17f,ENSMUSG00000041872,Q7TNI7
Mcm3,ENSMUSG00000041859,P25206
6720483E21Rik,ENSMUSG00000097934,0
Paqr8,ENSMUSG00000025931,Q80ZE5
Efhc1,ENSMUSG00000041809,Q9D9T8
Tram2,ENSMUSG00000041779,Q924Z5
Tmem14a,ENSMUSG00000025933,P56983
Gsta3,ENSMUSG00000025934,P30115
Gm28836,ENSMUSG00000099343,0
Khdc1a,ENSMUSG00000067750,Q3UWR2
Khdc1c,ENSMUSG00000041722,Q4KL78
Kcnq5,ENSMUSG00000028033,Q9JK45
Rims1,ENSMUSG00000041670,Q99NE5
4933415F23Rik,ENSMUSG00000073730,Q14BX6
Gm29107,ENSMUSG00000100775,0
Ogfrl1,ENSMUSG00000026158,Q8VE52
B3gat2,ENSMUSG00000026156,P59270
Smap1,ENSMUSG00000026155,Q91VZ6
Sdhaf4,ENSMUSG00000026154,Q8BTE0
Fam135a,ENSMUSG00000026153,Q6NS59
Col9a1,ENSMUSG00000026147,Q05722
Col19a1,ENSMUSG00000026141,Q0VF58
Lmbrd1,ENSMUSG00000073725,Q8K0B2
Gm28237,ENSMUSG00000100483,0
Gm29414,ENSMUSG00000099392,0
Adgrb3,ENSMUSG00000033569,Q80ZF8
4931408C20Rik,ENSMUSG00000073722,E9PWP9
Gm597,ENSMUSG00000048411,B9EKN1
Gm9898,ENSMUSG00000053185,Q8C325
Phf3,ENSMUSG00000048874,A0A087WNQ9
Ptp4a1,ENSMUSG00000026064,Q63739
Gm29669,ENSMUSG00000100371,0
Gm28644,ENSMUSG00000100237,0
4931428L18Rik,ENSMUSG00000086727,A0A087WNP0
Gm29128,ENSMUSG00000100910,0
Lgsn,ENSMUSG00000050217,Q8CIX8
Pih1d3,ENSMUSG00000026063,Q3KNI6
Khdrbs2,ENSMUSG00000026058,Q9WU01
Gm5415,ENSMUSG00000091318,E9PXF3
Prim2,ENSMUSG00000026134,P33610
Rab23,ENSMUSG00000004768,P35288
Bag2,ENSMUSG00000042215,Q91YN9
Zfp451,ENSMUSG00000042197,Q8C0P7
Bend6,ENSMUSG00000042182,Q6PFX2
Dst,ENSMUSG00000026131,Q91ZU6
Gm37233,ENSMUSG00000102336,0
